"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2020-03-09,-7.64742419394303,-6.53352712425495,-7.06572405220634,2020-03-08,4.484,2.87,1,0,-7.95565879499271,-6.75673928672622,-7.32776529110094
2020-03-10,-1.21469041698937,-1.53091356224787,2.70846394984326,2020-03-09,3.261,2.67,0,0,-1.22212807205564,-1.54275303407064,2.67243418625567
2020-03-11,-0.111409119042699,0.286462548916401,-3.64424368209009,2020-03-10,3.552,2.58,0,0,-0.111471225133919,0.286053026855217,-3.71230490834552
2020-03-12,-10.7526437541309,-12.33017714496,-9.51325097666561,2020-03-11,7.046,2.59,0,0,-11.3758387662104,-13.1592440977753,-9.99667656342759
2020-03-13,0.173570932654478,-4.25156227559319,5.27187864644107,2020-03-12,0,2.59,0,0,0.173420472389539,-4.34458742546313,5.13761380971059
2020-03-16,-3.71491278733973,-15.2806281927395,-9.13564920525837,2020-03-15,10.249,2.56,1,0,-3.78567367804623,-16.5825899650895,-9.58024422034231
2020-03-17,1.79715430573218,-7.40291658209886,3.49614521323314,2020-03-16,16.188,2.58,0,0,1.78119639628839,-7.69125413989273,3.43641817071576
2020-03-18,-4.75180313958421,-3.59359205920086,-5.06352985549609,2020-03-17,17.178,2.5,0,0,-4.86841027597764,-3.65975141658556,-5.19622534117645
2020-03-19,4.61519425884681,1.54312009824305,0.302932485784513,2020-03-18,20.206,2.39,0,0,4.51186156942617,1.53133508337686,0.302474569880747
2020-03-20,2.18332347723241,2.89184491334554,-1.69080331724223,2020-03-19,23.816,2.33,0,0,2.15983030974177,2.85082011684605,-1.70526059094752
2020-03-23,-1.91212556136858,-2.89353514061517,-3.29371474617244,2020-03-22,33.599,2.08,1,0,-1.93064311478121,-2.93622335107796,-3.34917881868193
2020-03-24,8.97054658736901,8.07760703206042,8.39235496302467,2020-03-23,31.852,2.05,0,0,8.5907444931677,7.76793667087172,8.05873743590081
2020-03-25,2.96060468239013,-2.82658307063246,2.7145842842386,2020-03-24,47.516,2.05,0,0,2.9176250266121,-2.86730003074576,2.67839294740713
2020-03-26,1.59655027345394,0.0470348377344958,4.61678789437987,2020-03-25,49.962,1.97,0,0,1.58393945784023,0.0470237798219356,4.51338488867849
2020-03-27,-3.73920785109423,-3.34781129917307,-2.39431266906619,2020-03-26,59.978,1.88,0,0,-3.81090928834752,-3.40513349530475,-2.42344224334437
2020-03-30,2.37670186909858,-4.17489059616042,1.9331195602382,2020-03-29,64.694,1.54,1,0,2.34889799209458,-4.26454330175631,1.91467216511943
2020-03-31,1.56729274339258,1.79215189016886,-0.604440050332554,2020-03-30,51.651,1.45,0,0,1.55513755113365,1.77628217396719,-0.606274183764284
2020-04-01,-2.51116994870097,-2.54792277002704,-3.69616819260767,2020-03-31,49.496,1.36,0,0,-2.54323781236179,-2.58094444076943,-3.76620776600246
2020-04-02,1.48100997241671,0.00212948578500569,1.2394366197183,2020-04-01,59.919,1.3,0,0,1.4701501121694,0.00212946311176962,1.23181848740428
2020-04-03,-1.42594296228151,-5.78704521899705,-1.37497681320719,2020-04-02,63.588,1.21,0,0,-1.43620722075778,-5.96124896468931,-1.38451717215198
2020-04-06,3.89428583548976,6.37788554345973,5.49429881274245,2020-04-05,71.391,1.16,1,0,3.82037138336804,6.18275266805218,5.3486725778188
2020-04-07,2.0476909885264,11.1404103822943,0.973881262257075,2020-04-06,56.658,1.17,0,0,2.02700767357079,10.562417433747,0.969169604627839
2020-04-08,0.172051615484637,2.54965189543206,2.02829459930698,2020-04-07,45.595,1.15,0,0,0.171903776241595,2.51769040382577,2.00799868608806
2020-04-09,1.46392123185078,3.98321291653029,1.57696634074587,2020-04-08,56.658,1.14,0,0,1.4533093460513,3.90592858604652,1.56466142092373
2020-04-14,-0.0590504684670521,-7.24257969389521,2.43159790719615,2020-04-13,56.134,1.05,0,0,-0.0590679101227697,-7.51824844003189,2.40250523308255
2020-04-15,-3.2713593571513,-5.02876284801351,-2.15616495708604,2020-04-14,50.661,1.01,0,0,-3.32606470005311,-5.15961070518727,-2.17974982911586
2020-04-16,1.00787978742899,0.171769363977298,0.141206675224652,2020-04-15,42.858,0.97,0,0,1.00283455072624,0.171622009121487,0.14110707235193
